SourceID,Source,AttributionComposerID,Target
230,MunU 401,8,Desprez
230,MunU 401,8,Desprez
230,MunU 401,11,Verdelot
230,MunU 401,28,Mouton
230,MunU 401,50,Willaert
230,MunU 401,50,Willaert
230,MunU 401,55,Bauldeweyn
230,MunU 401,55,Bauldeweyn
230,MunU 401,56,Richafort
230,MunU 401,56,Richafort
230,MunU 401,56,Richafort
230,MunU 401,56,Richafort
230,MunU 401,69,Lebrun
230,MunU 401,103,Appenzeller
230,MunU 401,110,Senfl
230,MunU 401,110,Senfl
230,MunU 401,110,Senfl
230,MunU 401,110,Senfl
230,MunU 401,110,Senfl
230,MunU 401,110,Senfl
230,MunU 401,110,Senfl
230,MunU 401,110,Senfl
230,MunU 401,110,Senfl
230,MunU 401,110,Senfl
230,MunU 401,110,Senfl
230,MunU 401,110,Senfl
230,MunU 401,141,Crecquillon
230,MunU 401,161,Jacquet of Mantua
230,MunU 401,161,Jacquet of Mantua
230,MunU 401,161,Jacquet of Mantua
230,MunU 401,161,Jacquet of Mantua
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,1,Anonymous
120,NurGN 83795,5,La Rue
120,NurGN 83795,8,Desprez
120,NurGN 83795,8,Desprez
120,NurGN 83795,16,Prioris
120,NurGN 83795,33,Févin
120,NurGN 83795,66,Rener
120,NurGN 83795,110,Senfl
120,NurGN 83795,110,Senfl
120,NurGN 83795,110,Senfl
120,NurGN 83795,151,Roselli
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
156,ParisBNC 851,1,Anonymous
